Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
4.7, 0.04, 0.04, 0.04, 0.04, 1.506889, 0.314392, 1.919302, 1.456314, 2.601119, 0.314392, 5.461035, 0.314392, 1.591711, 1.591711, 0.000000, 193.22, 196.67, 202.94, 1.73
4.8, 0.04, 0.04, 0.04, 0.04, 0.313423, 0.314392, 10.457057, 0.314392, 0.314392, 0.314392, 3.620172, 2.001422, 1.591711, 1.591711, 0.000000, 197.57, 200.38, 207.23, 1.41
4.9, 0.04, 0.04, 0.04, 0.04, 2.777021, 0.337886, 6.375734, 0.314392, 2.131707, 1.825809, 9.447352, 2.376156, 1.591711, 1.380731, 0.000000, 202.11, 204.16, 211.14, 2.24
5.0, 0.05, 0.04, 0.04, 0.04, 0.310745, 0.314392, 1.060466, 0.314392, 0.314392, 0.314392, 3.014060, 0.314392, 1.219946, 0.678709, 0.000000, 206.27, 208.51, 215.81, 0.90
5.1, 0.05, 0.05, 0.04, 0.04, 0.314392, 0.314392, 11.108203, 0.314392, 0.314392, 2.461484, 2.129198, 0.314392, 1.591711, 1.591711, 0.000000, 209.73, 212.74, 220.22, 2.37
5.2, 0.05, 0.05, 0.05, 0.04, 2.553300, 1.357832, 1.241924, 2.426691, 2.522885, 2.438148, 1.275289, 0.314392, 1.591711, 1.591711, 0.000000, 213.44, 218.18, 223.62, 2.05
5.3, 0.05, 0.05, 0.05, 0.05, 0.314392, 0.314392, 2.342596, 0.314392, 0.314392, 0.314392, 3.264074, 0.314392, 1.591711, 1.385570, 0.000000, 217.66, 221.95, 228.54, 2.50
5.4, 0.05, 0.05, 0.05, 0.05, 0.314392, 2.899900, 0.314392, 0.314392, 2.952923, 0.314392, 1.386938, 0.314392, 1.591711, 1.591040, 0.000000, 221.89, 226.11, 232.83, 2.56
5.5, 0.05, 0.05, 0.05, 0.05, 0.314392, 0.314392, 1.498799, 0.314392, 0.314392, 0.314392, 0.314392, 0.365429, 1.591711, 1.395766, 0.000000, 226.69, 230.21, 236.86, 1.79
5.6, 0.05, 0.05, 0.05, 0.05, 0.314392, 0.314392, 4.455071, 0.314392, 0.314392, 0.314392, 4.918099, 0.314392, 1.591711, 1.591711, 0.000000, 230.46, 234.18, 241.54, 2.62
5.7, 0.05, 0.05, 0.05, 0.05, 0.314392, 0.314392, 4.251591, 1.100647, 0.708131, 2.185741, 1.298674, 0.314392, 1.591711, 1.591711, 0.000000, 235.01, 238.78, 246.53, 1.98
5.8, 0.05, 0.05, 0.05, 0.05, 0.314392, 0.314392, 1.085746, 0.432929, 0.314392, 0.314392, 2.107268, 0.314392, 1.591711, 1.591711, 0.000000, 239.62, 242.82, 251.33, 1.41
5.9, 0.05, 0.05, 0.05, 0.05, 0.314392, 0.314392, 6.922776, 2.930232, 2.494447, 1.735077, 0.897463, 0.314392, 0.509237, 0.509237, 0.000000, 243.65, 247.55, 255.04, 2.88
6.0, 0.05, 0.05, 0.05, 0.05, 0.577622, 0.314392, 5.214023, 0.314392, 0.314392, 0.311654, 7.578424, 0.314392, 1.591711, 1.591711, 0.000000, 247.81, 251.71, 259.39, 2.43
6.1, 0.05, 0.05, 0.05, 0.05, 2.591491, 0.314392, 11.672286, 1.968015, 0.314392, 0.314392, 10.883469, 0.314392, 1.591711, 1.591711, 0.000000, 252.29, 256.70, 262.85, 3.01
6.2, 0.06, 0.05, 0.05, 0.05, 0.314392, 0.681743, 15.315290, 2.702012, 2.292014, 2.790500, 11.493530, 0.314392, 1.451434, 1.309707, 0.000000, 256.51, 260.99, 267.14, 2.94
6.3, 0.06, 0.06, 0.05, 0.05, 0.314392, 1.700271, 14.374420, 0.314392, 0.314392, 0.314392, 0.660784, 0.992541, 1.245798, 1.591711, 0.000000, 260.80, 264.70, 271.42, 2.62
