Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
5.2, 0.03, 0.04, 0.04, 0.04, 0.069278, 0.069278, 0.286242, 0.069278, 0.069278, 0.064766, 0.155480, 0.069278, 0.303574, 0.216495, 0.001082, 1037.18, 1039.36, 1043.58, 2.30
5.3, 0.03, 0.04, 0.04, 0.04, 0.069278, 0.068550, 0.254021, 0.069278, 0.069278, 0.069278, 0.487594, 0.067503, 0.235085, 0.108247, 0.001082, 1057.66, 1060.93, 1063.94, 1.92
5.4, 0.04, 0.04, 0.04, 0.04, 0.203134, 0.069278, 1.083559, 0.198977, 0.069278, 0.069278, 0.196289, 0.069278, 0.122971, 0.108247, 0.001082, 1078.27, 1082.82, 1085.57, 2.05
5.5, 0.04, 0.04, 0.04, 0.04, 0.069278, 0.069278, 1.161844, 0.199529, 0.182560, 0.069278, 0.607150, 0.137474, 0.247197, 0.131050, 0.001082, 1098.11, 1105.86, 1109.31, 1.98
5.6, 0.04, 0.04, 0.04, 0.04, 0.069278, 0.069278, 0.558686, 0.069278, 0.069278, 0.069278, 0.784638, 0.229446, 0.324444, 0.324742, 0.001082, 1119.55, 1127.94, 1131.07, 1.86
5.7, 0.04, 0.04, 0.04, 0.04, 0.277113, 0.069278, 0.176274, 0.253809, 0.066345, 0.069278, 0.205896, 0.069278, 0.216495, 0.241007, 0.001082, 1141.38, 1149.95, 1150.78, 1.86
5.8, 0.04, 0.04, 0.04, 0.04, 0.069278, 0.278386, 0.332667, 0.276827, 0.069278, 0.145337, 0.383788, 0.069278, 0.270619, 0.216495, 0.001082, 1162.50, 1171.97, 1173.25, 1.73
5.9, 0.04, 0.04, 0.04, 0.04, 0.109996, 0.069160, 0.810102, 0.189278, 0.069278, 0.069278, 0.432089, 0.162371, 0.324742, 0.154813, 0.001082, 1184.64, 1193.02, 1194.56, 2.11
6.0, 0.04, 0.04, 0.05, 0.04, 0.069278, 0.069278, 0.209018, 0.315541, 0.280361, 0.242474, 0.870188, 0.069278, 0.108247, 0.108247, 0.001082, 1205.50, 1213.76, 1214.72, 2.30
6.1, 0.04, 0.04, 0.05, 0.04, 0.069278, 0.069278, 0.185816, 0.069278, 0.118722, 0.069278, 1.126229, 0.069278, 0.323930, 0.216495, 0.001082, 1227.46, 1234.11, 1234.82, 2.50
6.2, 0.04, 0.04, 0.05, 0.04, 0.197345, 0.069278, 0.090443, 0.142135, 0.068569, 0.069278, 0.616180, 0.110718, 0.324742, 0.324742, 0.001082, 1248.13, 1255.10, 1256.26, 2.56
6.3, 0.04, 0.04, 0.05, 0.04, 0.069278, 0.264430, 0.614919, 0.069278, 0.069278, 0.067589, 0.667941, 0.304175, 0.264834, 0.274073, 0.001082, 1270.85, 1275.71, 1275.71, 2.37
6.4, 0.04, 0.04, 0.05, 0.04, 0.064730, 0.131088, 0.600633, 0.069278, 0.223609, 0.141528, 0.604171, 0.069278, 0.324742, 0.252836, 0.001082, 1291.84, 1297.54, 1295.49, 2.56
