Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
3.8, 0.02, 0.02, 0.03, 0.00, 0.057903, 0.037278, 1.060844, 0.037278, 0.035465, 0.037278, 0.541021, 0.032729, 0.166059, 0.076247, 0.000000, 674.94, 681.09, 674.30, 1.34
3.9, 0.02, 0.02, 0.03, 0.00, 0.214704, 0.037278, 0.309038, 0.037278, 0.037278, 0.206972, 0.685295, 0.034013, 0.161541, 0.076247, 0.000000, 694.14, 699.33, 693.44, 1.22
4.0, 0.02, 0.02, 0.03, 0.00, 0.037278, 0.037278, 0.152742, 0.037278, 0.037278, 0.037278, 0.110771, 0.032669, 0.076247, 0.076247, 0.000000, 711.87, 719.36, 713.15, 1.34
4.1, 0.03, 0.02, 0.03, 0.00, 0.037278, 0.037278, 0.096418, 0.037278, 0.033295, 0.032948, 0.098859, 0.037278, 0.076247, 0.076247, 0.000000, 730.56, 736.96, 732.54, 0.77
4.2, 0.03, 0.03, 0.03, 0.00, 0.037278, 0.037278, 1.025657, 0.037278, 0.037278, 0.037278, 0.746115, 0.037278, 0.076247, 0.076247, 0.000000, 750.59, 756.80, 750.08, 1.02
4.3, 0.03, 0.03, 0.03, 0.00, 0.037278, 0.037278, 0.427981, 0.037278, 0.182613, 0.037278, 1.126403, 0.037278, 0.292742, 0.265196, 0.000000, 769.02, 773.95, 770.24, 0.96
4.4, 0.03, 0.03, 0.03, 0.00, 0.319263, 0.037278, 0.137015, 0.034965, 0.037278, 0.345931, 1.173637, 0.037278, 0.205772, 0.292742, 0.000000, 787.65, 792.45, 787.78, 1.73
4.5, 0.03, 0.03, 0.03, 0.00, 0.106908, 0.037278, 0.648661, 0.037278, 0.037278, 0.291345, 0.357565, 0.037278, 0.214179, 0.105931, 0.000000, 807.23, 811.33, 806.66, 1.34
4.6, 0.03, 0.03, 0.04, 0.00, 0.032733, 0.037278, 1.228127, 0.037278, 0.037278, 0.037278, 0.483181, 0.037278, 0.290564, 0.292742, 0.000000, 826.18, 830.40, 826.18, 0.90
4.7, 0.03, 0.03, 0.04, 0.00, 0.036388, 0.352361, 0.180074, 0.037278, 0.037278, 0.037278, 0.711033, 0.032803, 0.291596, 0.255629, 0.000000, 843.84, 849.28, 844.74, 1.28
